run_i,run_j,ARI
0,1,0.37092400749936716
0,2,0.961491746495538
0,3,0.9626312043234241
0,4,0.3727610736593428
0,5,0.9992670563528719
0,6,0.9992670563528719
0,7,0.27007680244962484
0,8,0.9502088767569047
0,9,0.2689339634930029
0,10,0.9656381867589647
0,11,0.964681012127278
0,12,0.25962564924070325
0,13,0.2752993308884353
0,14,1.0
0,15,0.26896989061915433
0,16,0.37088943031065075
0,17,0.964681012127278
0,18,0.37129532196459963
0,19,0.2726703011847612
1,2,0.3594543710772088
1,3,0.35919039399565633
1,4,0.9957891019502387
1,5,0.37073804605836774
1,6,0.37073804605836774
1,7,0.5113150680773932
1,8,0.35727725473518773
1,9,0.5116265262295483
1,10,0.35980167885275893
1,11,0.359393101292678
1,12,0.5195357095976111
1,13,0.5082543352065126
1,14,0.37092400749936716
1,15,0.5129381415356565
1,16,0.99951823730262
1,17,0.359393101292678
1,18,0.9981180429301686
1,19,0.5102514808388365
2,3,0.9977711998052973
2,4,0.3612907734520038
2,5,0.9607706243760724
2,6,0.9607706243760724
2,7,0.27261051905189393
2,8,0.9874587798692035
2,9,0.2714142424724817
2,10,0.9958049744404912
2,11,0.9967711394759682
2,12,0.26198749465369836
2,13,0.27799267647643594
2,14,0.961491746495538
2,15,0.2714959784596592
2,16,0.35942534684007693
2,17,0.9967711394759682
2,18,0.359850452690498
2,19,0.27530767406425316
3,4,0.36103168438175454
3,5,0.9619094379752321
3,6,0.9619094379752321
3,7,0.2719803378071317
3,8,0.9852451563826476
3,9,0.2707865660011976
3,10,0.9969473123364292
3,11,0.9979144195461217
3,12,0.26139598539741504
3,13,0.27734750493513893
3,14,0.9626312043234241
3,15,0.2708712694747082
3,16,0.3591604443724149
3,17,0.9979144195461217
3,18,0.3595871921127644
3,19,0.2746715423210343
4,5,0.37257484782218603
4,6,0.37257484782218603
4,7,0.5095204911060224
4,8,0.35907259066894615
4,9,0.5098251421690978
4,10,0.3616478581696227
4,11,0.36123603517276165
4,12,0.517688939993333
4,13,0.5064881853549112
4,14,0.3727610736593428
4,15,0.511135894267218
4,16,0.9953078746204288
4,17,0.36123603517276165
4,18,0.9961398888039937
4,19,0.5084716664871487
5,6,1.0
5,7,0.26972905921855145
5,8,0.9494928325842641
5,9,0.26858702196089035
5,10,0.964915459729129
5,11,0.9639585360123202
5,12,0.2592899663231746
5,13,0.2749465462313365
5,14,0.9992670563528719
5,15,0.2686236167193657
5,16,0.370703174636469
5,17,0.9639585360123202
5,18,0.37110927579483677
5,19,0.27232042308560206
6,7,0.26972905921855145
6,8,0.9494928325842641
6,9,0.26858702196089035
6,10,0.964915459729129
6,11,0.9639585360123202
6,12,0.2592899663231746
6,13,0.2749465462313365
6,14,0.9992670563528719
6,15,0.2686236167193657
6,16,0.370703174636469
6,17,0.9639585360123202
6,18,0.37110927579483677
6,19,0.27232042308560206
7,8,0.27610300934137266
7,9,0.9961103882191996
7,10,0.2713244637429721
7,11,0.27151623268805564
7,12,0.9801886868622514
7,13,0.9910433519312489
7,14,0.27007680244962484
7,15,0.9961112609092465
7,16,0.5113838964968956
7,17,0.27151623268805564
7,18,0.5108498783759421
7,19,0.9944301604136088
8,9,0.27501879905699117
8,10,0.9833003091210347
8,11,0.9842585660821003
8,12,0.2653019369482499
8,13,0.28132259515444125
8,14,0.9502088767569047
8,15,0.2750898967817509
8,16,0.3572560228239014
8,17,0.9842585660821003
8,18,0.3576713232738401
8,19,0.2785654233581365
9,10,0.2701394224015714
9,11,0.2703274314830863
9,12,0.9808205655641703
9,13,0.9871816702258822
9,14,0.2689339634930029
9,15,0.9976883318829725
9,16,0.5116967623740557
9,17,0.2703274314830863
9,18,0.5111621335153971
9,19,0.9905570353843703
10,11,0.9990317034190344
10,12,0.2608079082278792
10,13,0.27665801287729685
10,14,0.9656381867589647
10,15,0.27022442844686084
10,16,0.35977040573269375
10,17,0.9990317034190344
10,18,0.3601981798496986
10,19,0.27399928333626067
11,12,0.2609704399729127
11,13,0.2768636825605219
11,14,0.964681012127278
11,15,0.2704120132388931
11,16,0.3593626001329415
11,17,1.0
11,18,0.3597898416745239
11,19,0.2741976107575155
12,13,0.9714372625923166
12,14,0.25962564924070325
12,15,0.9819696827651204
12,16,0.5196139667902571
12,17,0.2609704399729127
12,18,0.5190652284111208
12,19,0.9758812005804668
13,14,0.2752993308884353
13,15,0.9883379226458837
13,16,0.5083182743900297
13,17,0.2768636825605219
13,18,0.5077903445261887
13,19,0.9954383478820618
14,15,0.26896989061915433
14,16,0.37088943031065075
14,17,0.964681012127278
14,18,0.37129532196459963
14,19,0.2726703011847612
15,16,0.5130084392164189
15,17,0.2704120132388931
15,18,0.5124723339993185
15,19,0.9928662254859455
16,17,0.3593626001329415
16,18,0.9985997613358316
16,19,0.5103180304637001
17,18,0.3597898416745239
17,19,0.2741976107575155
18,19,0.5097862548852109
